@relation JKW_TWCL_3

@attribute TWEETCL3_ string
@attribute @@class@@ {POS,NEG}

@data
'bangun tunda emang emang tuntas urus kelar pergi',NEG
'jahat banget sepupu lo lihat pocong lihat mentang suka',NEG
'sang kaum islamis presiden',NEG
'tabloid obor lil santren al tabloid dusta fitnah',NEG
'debat salat undur',NEG
'bohong dana rakyat',NEG
'aja rakyat bohong',NEG
'betapa orang pintar korupsi orang',NEG
'liat aja muka',NEG
'nyata hasil ita dia metro',NEG
'indonesia hebat bahaya laten koruptor',NEG
'heran sikap dukung etika nila agama',NEG
'asing ebar fitnah budek metro dia indonesia tempo detik',NEG
'negara as boneka fitnah islam si negara emang bikin',NEG
'ya iya ambisius ambisius uang masyarakat uang pikir matang',NEG
'dukung sembah',NEG
'plan kontradiksi visi misi setuju didik gratis',NEG
'oh ya lembaga bayar hasil',NEG
'kristen aku beda islam',NEG
'jurus bus karat efisiensi anggar jurus pangkas hutang indonesia',NEG
'bus karat prof sangka gelar aksi solidaritas',NEG
'salah kubu solid tubuh usung kalah',NEG
'rakyat bodoh bukti',NEG
'catut nama ulama desak dia pro maaf',NEG
'bongkar bohong',NEG
'konsep revolusi mental cacat mental serang segel rusak kantor',NEG
'bangun curang',NEG
'sadar segel kantor paksa bikin rame',NEG
'rakyat munafik',NEG
'antipat lihat laku kalah juli',NEG
'gambar aksi anarkis anak buah putar ita nasional',NEG
'gambar putar nasional imbas ambrol total anarkis',NEG
'kena gejala trauma babi buta rakyat',NEG
'aksi demo bukti santri klaim dukung anak',NEG
'gambar nasional rontok nasional',NEG
'bang hilang hormat intelektual rapat hilang hormat',NEG
'dukung no bodoh moral',NEG
'hilang hormat rapat hilang hormat',NEG
'nyata bohong bohong has',NEG
'hancur kader anggota massa',NEG
'siaga kepung khawatir',NEG
'boneka boneka boneka salam garuda merah',NEG
'kayak muncul metro serang fajar kubu',NEG
neger,NEG
'bukti paham komunis',NEG
fakta,NEG
'gerus suara coba',NEG
'coblos no bangsa indonesia',NEG
'mega kali bangsa indonesia',NEG
'kampanye suka sih miris liat macan kampanye',NEG
'bangsa indonesia',NEG
'senjata makan tuan hasil revolusi mental tinda anarkis',NEG
'hancur tolong pela keras',NEG
'maksud hati cari dukung daya',NEG
'sih protes bijak suruh',NEG
'orang tolol sedunia nama erus mimpi komunis',NEG
'kubu tinda has',NEG
'bohong hobi bohong',NEG
'serang bebas pers',NEG
'angkat netral',NEG
'ungkap ala',NEG
'jil sipilis',NEG
'om agitasi propaganda mata kubu liha situasi rekayasa',NEG
'kompilasi asing antek',NEG
'kubu sebe bangga bela erkosa dukung video selamat ya gembira korban erkosa',NEG
'jujur lepas peci malu islam doang kau dorong publik pilih',NEG
'super bintang cukong super kaya sengaja pasang ina sia',NEG
'pilih beliau aja',NEG
'muslim kafir non muslim kafir ya ilih',NEG
'presiden aja',NEG
'stasiun salah mending tenaga simpatis dukung',NEG
'jenderal kubu paka spionase',NEG
'hemat santri coba hibur ya',NEG
'rela mati presiden lo ba',NEG
'mega rakyat ya rakyat eksploitasi rakyat',NEG
'bijak via',NEG
'andung unsur babi serius ulama haram ilih',NEG
'salah galak dukung antek',NEG
'ham bondong dukung sengaja lupa',NEG
'dukung no nabi salah',NEG
'buka aja kompilasi asing antek has',NEG
'salah pilih si bikin',NEG
'tuduh bikin kandang banteng provokator',NEG
'si revolusi mental',NEG
'takut netral provokator',NEG
'ganyang netral provokator',NEG
'netral provokator',NEG
'muslim tau milik salim milik brewok',NEG
'iya rakyat main',NEG
'iya ajar ya komunis mas tau',NEG
'episode catat pinggir daftar bohong',NEG
'urus becus dukung culas curang',NEG
'no karat solo utang',NEG
'isu langgar ham libat',NEG
'baca kampanye positif kronologis tangkap relaw tabloid',NEG
'seret aja baca kampanye positif kronologis tangkap relaw',NEG
'tipu anggap koperasi tani nelay',NEG
'calon presiden takut lapor korupsi ada',NEG
'komunis kali orang',NEG
'suka aja liat',NEG
'ita arti nyata',NEG
'aham arah ambil',NEG
'kostum merem kostum si kubu',NEG
'tutup mata hati rugi negara mimpin',NEG
'impin patuh hukum calon presiden nomor urut',NEG
'wajib baca jaga rencana isu fitnah rusuh kubu',NEG
'muharam santri janji tentang islam lil dukung',NEG
'foto belanda foto satu',NEG
'cita cita luhur diri bangsa',NEG
'dalang rusuh mei dukung',NEG
'proyek mobil solo aju proyek mobil solo',NEG
'catat pinggir daftar bohong',NEG
'tunduk moncong putih',NEG
'enggan usut sidik sangka konspirasi global',NEG
'tokoh salah indikasi anu daftar nama cukong',NEG
'isik nih dukung',NEG
'rekor dunia minimal',NEG
'revolusi mental ala tim menang erima kalah tuk',NEG
'debat koperasi eh bohong',NEG
'lulu harga via',NEG
'yuk mas buka mata hati pro habis gubernur',NEG
'mistis cukong dukun cukong biksu ritual mata rakyat',NEG
'politik sungguh jok gagal sangka',NEG
'rekor dunia minimal allah tau',NEG
'lembaga pro tiarap persis lapor kalah',NEG
'puluh juta muslim metro milik moncong komunis dukung',NEG
'gabung raja tipu kolusi',NEG
'plus video yahud kafir cina boneka komunis',NEG
kalah,NEG
'yahud kafir cina boneka komunis mempan ibadah',NEG
'lapor hutang hutang sederhana sumber',NEG
'dia ecut hadir bayar',NEG
'islam dia pro biadab nih',NEG
'fungsi planing korupsi bus karat',NEG
'kenal nabi sadar',NEG
'ilih revolusi mental lihat sikap segel',NEG
'beru tahu potensi beru kalah',NEG
kenal,NEG
'kompas bayar cukong',NEG
'waspada daerah gerak tim tangkap serang',NEG
'tim tangkap serang fajar',NEG
'isu gosip tim tangkap serang fajar juli curang panik',NEG
kerja,NEG
'reputasi koalisi dukung mata umat rusak tinda anarkis',NEG
'olak tinda anarkis',NEG
'sadar cukong',NEG
'anda ilih alas sederhana erti miskin gelimang',NEG
'serang fajar tim waspada man teman',NEG
'beban besok saksi lapor saksi palsu pura saksi no',NEG
'berkah berkah ya tipu ulung nabi ya',NEG
'waspada serang sahur fajar gencar',NEG
'anda ilih alas mimpin mimpin onjol',NEG
'hilang suara ampe undang cakep dah laku',NEG
'curang sih mbak tim tangkap serang fajar',NEG
'sombong dukung makan',NEG
'tangkap fajar barang bukti kartu indonesia sehat segepok uang palsu',NEG
'kompas tempo detik dia lo bua',NEG
'si aja dukung penuh merdeka',NEG
'presiden hancur neger pilih nomer',NEG
'tau bukti omong',NEG
'abang pilih perang islam',NEG
'anti anti',NEG
'sederhana bohong enal sosok sederhana',NEG
'tim tangkap tangan serang fajar',NEG
'revolusi mental sosialis komunis tua',NEG
'tim tangkap serang fajar telinga mata hati rakyat',NEG
'serang fajar relaw',NEG
'serang fajar tangkap kamera sahur',NEG
'hina islam dia pro polisi dewan pers',NEG
'salam nang tua dukung pela',NEG
'bikin rame tim tangkap serang fajar',NEG
'tua dukung pela',NEG
'tim tangkap serang fajar curang enang',NEG
'lembaga caya rusuh klaim menang',NEG
'etap kampanye real deklarasi presiden',NEG
'menang deklarasi kalah',NEG
'tau makna slogan curang alah langsung deklarasi',NEG
'waspada potensi rusuh kalah has',NEG
'potensi rusuh kalah has',NEG
'tipu kader marhaenis caya',NEG
'bentuk opin deklarasi kubu',NEG
'potensi rusuh kalah',NEG
'deklarasi marin rumah asli orang mega orang nampak hadir',NEG
'emang lu serang',NEG
'deklarasi putri haus kuasa',NEG
'keras betapa boneka cewa',NEG
'deklarasi menang kubu kalah',NEG
'presiden korup presiden puan wakil ya',NEG
'ya allah si istri zionis ya',NEG
'bus karat ngeri banget dah',NEG
'hasil rekayasa giat cukong cina',NEG
'kalah telak hasil real provinsi',NEG
'dukung laku preman kantor botol isi bensin',NEG
'kompas palsu',NEG
'metro dia surya corong nomor liput',NEG
'lihat muka deklarasi seorang enang pucat',NEG
'isu cuat',NEG
'deklarasi menang kubu kalah te',NEG
'dasar tukang bohong kabar menang bohong via',NEG
'untung metro surya untung',NEG
'syukur ilih ilih gubernur ilih',NEG
'isu rusuh indonesia timur polisi',NEG
'tutup kalah tembak kader bunuh rusuh lawan aparat',NEG
'langgar kode etik komite etik komite etik',NEG
'potensi rusuh kalah lot',NEG
'klaim bukti ilih jujur tim duga masif',NEG
'dasar tipu malu sontoloyo kubu data',NEG
'pesan ya bukti antek asing',NEG
'serupiah dia sedunia raja',NEG
'iya mah anarkis emang kayak dukung utang aja gembor',NEG
'kiamat kali ya colek potensi rusuh kalah',NEG
'potensi rusuh kalah via',NEG
'ujung tekan rusuh menang',NEG
'real bowo sang raja',NEG
'tim emang menang arab palsu',NEG
'maling iak maling urus korupsi ani tunggu lapor kongkalikong',NEG
'orang hilang kredibilitas reputasi dukung',NEG
'benci liat laku',NEG
'antek cukong cina metro',NEG
'deklarasi menang tipu kubu kalah',NEG
'anarkis kubu mah isu tau ah',NEG
'ganjil kubu deklarasi menang',NEG
'colek potensi rusuh kalah',NEG
'kubu kalah pilih korup tipu khianat orang gila',NEG
'bangkit komunis indonesia via',NEG
'menang caya',NEG
'macet banjir skenario bunuh',NEG
'rusuh ya rusuh',NEG
'nih bangga palsu',NEG
'islam dia sokong metro ampe tempo islam pos',NEG
bohong,NEG
'deklarasi menang mundur mah',NEG
'orang syukur bikin acara duit suka boros',NEG
'kucing sera jabat',NEG
'lawan indikator upaya sistematis bentuk opin',NEG
'debat ya konsisten ya',NEG
'seberang akbar lihat hasil cari uang mas',NEG
'tuyul om main lilin',NEG
'benci komunis',NEG
'video duga korupsi transportasi',NEG
'cuti mundur gubernur tipu',NEG
'rusuh arik gagal presiden dia cari to',NEG
'dasar dia antek si',NEG
'republik ganjar kamil status bilang',NEG
'diam kacung bikin rusuh dasar makhluk primitif goblok aja goblok contoh',NEG
'paket maaf buruk mata',NEG
'ayo setuju',NEG
'harap ucap selamat liong minimal eh',NEG
'sikap ucap tinda langgar hukum bahaya negara',NEG
'gantung tangkap si uang mobil warga pilih eh',NEG
'astagfirul ah sengaja biar dukung dia buat anarkis',NEG
'emang rusuh gilir menang bangga kalah iak curang',NEG
'da lapor coba cek jaya data masuk suara',NEG
'isu bendera rusuh kalah alah',NEG
'akun dukung hina sara',NEG
'langgar ham puluh ratus ribu otak',NEG
'trik hilang sabar ima lapor curang',NEG
'rakyat patuh seru ulama suara nol langgar',NEG
'hebat rakyat patuh seru ulama suara nol',NEG
'hilang sabar ima lapor curang',NEG
'prop jaya suara',NEG
'haus ambisi menang iklan dia massa modus tipu publik',NEG
'tua ansor tuduh komunis adu domba hambat laju',NEG
'suara nol langgar',NEG
'hilang sabar ima lapor curang politik',NEG
'tim hukum ima lapor duga curang',NEG
'tim hasil hitung sesuai hasil',NEG
'gembos suara liling ca',NEG
'indikasi gembos suara pola gembos',NEG
'koalisi kaum komunis anark kalah',NEG
'hot rusuh umum kalah',NEG
'presiden rakyat aja salah burhan teri',NEG
'boneka maji loh boneka ya boneka bowo ni',NEG
'presiden rakyat aja salah burhan',NEG
'lawan rusuh umum kalah',NEG
'rusuh umum kalah',NEG
'dukung dukung antek asing rakyat puas',NEG
'parah macet parah jam jalan',NEG
'rencana bahaya kubu otak hasil',NEG
'mata kubu anarkis',NEG
'korps dia dukung hina agama islam',NEG
'miskin solo fakta bilang hasil miskin fitnah tipu',NEG
'mayoritas orang muslim ulama takut komunis haram pilih',NEG
'kaget pilih impin anti islam usul aja ra',NEG
'adil lembaga surve indonesia via',NEG
'lapor tugas parta',NEG
'tangis menang palsu pasang',NEG
'pantau langsung oleh suara dasar lapor tim sukses potensi curang',NEG
'enal anak kader komunis angkat',NEG
'rusuh kubu kalah',NEG
'nol ya suara nol',NEG
'bukti buku nikah palsu jara',NEG
'suka koperasi cukong aja ilik bank rakyat utang bank bayar lahan ambil',NEG
'publik haus impin rakyat bius propaganda ala kubu',NEG
'suka koperasi cukong aja ilik bank rakyat utang bank bayar lahan',NEG
'mbah hapal cukong',NEG
'aja cukong liat banyak iklan metro milik agung grup',NEG
'tau tim kubu',NEG
'beda ilik agung cukong ambil lahan bank swasta',NEG
'beda ilik agung cukong ambil lahan',NEG
'aja cukong liat banyak iklan metro milik agung',NEG
'ribut kawal rusuh juli',NEG
'alas diam anarkis kubu',NEG
'kalah susah payah dongkrak',NEG
'menang ning neger keok opin rakyat gen',NEG
'sekilas tangkap dana has',NEG
'sia harap selamat pala negara asing',NEG
'palsu sang fenomenal',NEG
'orang kecoh calon pasien',NEG
'kubu aman dama',NEG
'ani sanggup dasar tipu rakyat',NEG
'sabar pilih',NEG
'banteng panik juli ribu relaw turun jalan',NEG
'tangkap agen sekilas tangkap dana',NEG
'dasar kubu munafik curang iak curang coblos ulang terlibat birokrasi',NEG
'kalah mending rusuh kalimat malam nada',NEG
'sekilas tangkap dana',NEG
'kubu bikin rusuh metro kayak',NEG
'ironis bukti kuak komunis rakyat indonesia utup',NEG
'sekilas tangkap dana bang',NEG
'rakyat iksa mega usut tuntas tas tas',NEG
'wajar dukung anarkis juli menang',NEG
'taip cukong dana taip daftar cukong',NEG
'curang enang',NEG
'sakit bus karat',NEG
'bohong kurang tutup rapat ekspos dia dukung kompas tempo',NEG
'non islam eh parah komunis',NEG
'alas diam anarkis kubu via',NEG
'bencana impa kader menang kalah',NEG
'tangkap muncul relaw baju kotak niat buruk waspada',NEG
'wajar dukung anarkis juli',NEG
'gelap harap buram mari menga jantan menang',NEG
'skenario licik baju kotak kubu',NEG
'alas rakyat kampanye gereja asing',NEG
