@relation JKW_TWCL_1

@attribute TWEETCL_ string
@attribute @@class@@ {POS,NEG}

@data
'bener ya mentri ga bguna suruh mptngjwbkan dl ganti jkw buat apa pelihara mentri tdk kompeten http',POS
'saya adalah kamu kamu adalah kita dan kita adalah bangsa indonesia jkw',POS
'reza news sindir menteri esdm soal listrik di kalimantan yang byar pet capres be',POS
'popularitas meroket akibat kerja kerasnya yuk kita baca disini suararakyat',POS
'akun jelas tuduh kturunan pki bukti yg dberikan jg tdk relevan polri hrs tangkap akun ini',POS
'yukk popularitas meroket akibat kerja kerasnya yuk kita baca disini suararakyat',POS
'perusahaan harus berikan buruh upah yang layak kalau etos kerja sudah bagus maka gaji juga harus bagus',POS
'mantap pemilu buat apa pelihara menteri tidak kompeten',POS
'tol laut penting untuk memenuhi rasa keadilan rakyat coblosnomor',POS
'pilpres seniman bandung dukung',POS
'sudah terbiasa dengan cercaan fitnah dan direndahkan tidak marah krn bukan pemarah berkerja bekerja dan bekerja ng',POS
'mumpung bulan puasa berdoa aahh ya alloh semoga yg jadi presiden indonesia amin akhirnyamilih pintarpilih',POS
'detik menuju kemenangan tinggal menghitung hari',POS
'timses minta maaf atas penyerangan tv one tim sukses timses pasangan dan',POS
'dan ini terjadi di ramadhan ramadan mengajarkan kita untuk menjalani kehidupan penuh syukur',POS
'salam dua jari saya adalah kamu kamu adalah kita dan kita adalah bangsa indonesia',POS
'pagi ini aku memilih diam namun selain itu aku juga tetep akan memilih nomor slmtpagi mas',POS
'buat relawan hari ini pencoblosan di luar negri ayo kita kawal bersama pemilu di luar negeri dengan damai batalgolputkarena',POS
'infojakarta ki jaka winata gelar baru dari masyarakat sunda',POS
'news ki jaka winata gelar baru dari masyarakat sunda',POS
'mstrsnx jangan biarkan mafia haji migas dan daging berkuasa pilih',POS
'utjegp didukung sarundajang diprediksi bisa kuasai sulut pilih',POS
'rekapberita ki jaka winata gelar baru dari masyarakat sunda',POS
'ki jaka winata gelar baru dari masyarakat sunda jaka berarti ksatria winata ialah yang mengatur menata mengelola',POS
'foto berkampanye di sukabumi akhirnyamilih',POS
'menjelek jkan sama dengan takut akan power thd rakyat president all',POS
'udah pinter nyanyiin theme song yg salam dua jari hahahaa ada ada ajaa',POS
'indonesia butuh wajah pribumi hati surgawi orang nomor dua yg akan jd nomor direpublik ini akhirnyamilihjoko',POS
'irmadi yg bisa kembalikan kepercayaan rakyat coblosnomor',POS
'ki jaka winata gelar baru dari masyarakat sunda jaka berarti ksatria winata ialah ya arbuntukbangsa',POS
'kubu terima kasih sherina munaf',POS
'vivanews ki jaka winata gelar baru dari masyarakat sunda',POS
'enghh mba aq minta doanya ea bwt untk ri semoga pilpres thn ini aman',POS
'fakta rajasa sudah duluan jual teluk benoa ke investor jrx ga takut bali malah dijual jkw',POS
'ckp berimbangkah klo disebut muchdi hpriyono sm spt prabw pelanggar ham pewaris gaya militeristik orba sedangkan jkw tidak',POS
'sekjen pdip jkw lbh siap wjudkan kedaulatan pangan via bila ekonomi ri di atas',POS
'aku ingin pemimpin yg amanah bukan yg amarah aku ingin pemimpin yg mau bekerja tdk hanya mengandalkan bawahanya saja adalahkita',POS
'duh udah jelas beda loh ide besarnya jkw usung revolusi mental sbg transformasi mental yg berjuang utk kebebasan trmsk bebas beragama',POS
'gimana mau dihukum yg menang ruhut pasti naik pangkat',POS
'dukungan dtang dr petani indonesia yg mendukung pemimpin yg tulus rndah hati peduli petani ngabuburit jari',POS
'presidenku jujur kuat wong artinya orang yg jujur dan kuat',POS
'dukungan dtng dr petani indonesia yg mendukung pemimpin yg tulus rndah hati peduli petani ngabuburit jari',POS
'trimakasih atas komitmennya jangan sampai membohongi rakyat',POS
'tapi artis yg keren intelek bermartabat semua dukung jkw om gmn nih akhirnyamilih',POS
'doha sdh memilih hari ini maaf sy dgn sadar merusak foto pak jkw utk indonesia lebih baik http',POS
'semoga yang memilih jkw tak hanya masyarakat online saja tapi masyarakat yang lebih luas',POS
'gapapah aku pilih jkw aja walau ga berpahala abis itu sholat dan ga lupa bayar zakat sama aja berpahala',POS
'kalau belum yakin sama silakan cari info mereka di semua sosmed asal jangan vivanews salam jari',POS
'jkw lakukan blusukan lbh thn secara rutin itu bukan pencitraan sebaiiknya pra lakukan hal cuma disaat',POS
'kawasan gresik pasangan lebih unggul salam jari ak akhirnyamilih',POS
'pastikan kita menang total klo pak jkw menang ntar jga tvone tutup sendiri dijual uuppss',POS
'jkw lakukan blusukan lbh thn secara rutin itu bukan pencitraan sebaiiknya pra lakukan hal cuma di saat',POS
'masa kampanye pilih peduli masyarakat papua jkw',POS
'deklarasi slankers utk akhirnyamilihjok',POS
'dukungan pelajar dan masyarakat indonesia di negeri ratu elizabeth untuk',POS
'dari semua saksi kasus transjakarta tidak ada satupun saksi yang mengatakan bahwa ikut bertanggungjawab alex lay',POS
'kontrak politik untuk program nyata dan sudah dideklarasikan tadi pagi silakan disebarkan',POS
'bijaksana sekalee bapak presiden ir haji ini juli',POS
'kontrak politik untuk program nyata dan sudah dideklarasikan tadi pagi silakan disebarkan http',POS
'kontrak politik program nyata dan sudah dideklarasikan tadi pagi silakan disebarkan',POS
'ok sip tegaspilih semua gara gara bakso daripada prahara mending',POS
'saya akan lawan jkw kalau ia terbukti boneka dan lukai rakyat alam sejauh ini yg terbukti jahat ya kubu reklamasi',POS
'bukannya aku fanatik sama tetapi aku anti mileterisme totaliter yg biasanya berkuasa dengan tangan besi',POS
'salam dua jari ruslan mau cilegon',POS
'sebagai seorang it saya sangat mndkung ide pake untuk goverment krn mengurangi birokrasitdk pntg dan saya akhirnyamilih',POS
'di tengah ribuan rakyat musisi artis tokoh yg hadir sukarela tanpa dibayar tadi sore di senayan',POS
'pak bowo maksa banget minta utk setuju pendapatnya biar dibilang sama haha',POS
'cc prof mahfud md penampilan meningkat',POS
'debat malam ini moderator nya mantap pak nya ciamik pak nya lucuk dan skak mat dah it',POS
'ini bkn foto belanda kostarika ini foto menyatu dg pendukungnya di gbk it even rhyme',POS
'netizen dukung di debat pamungkas',POS
'ibarat bola menang',POS
'visi misi pangan dinilai brilian menurut iman sugema apa yang digagas oleh sebagai terob',POS
'dukung syafii maarif ini pilihan pribadi dan moral',POS
'pemimpin yang berprestasi',POS
'kita adalah penyala harapan kekuatan kita ada pada kerelaan sayapercaya jk',POS
'pria kelahiran tahun lalu ini merupakan figur presidej yang menunjukkan kecintaannya',POS
'ingat tidak cukup hanya dengan memberikan hak suara dukung orang baik share alasan pilih',POS
'jangan lupa coblos sebelah kanan no atas nama pres dan wapres ingat nomer sebelah kanan anda salam jari',POS
'jika anda pemilih yg cerdas dan menginginkan indonesia maju ayoo pilih presiden dan wakil presiden salam jari',POS
'jika anda pemilih yg cerdas dan menginginkan indonesia maju ayoo pilih presiden dan wakil presiden jusuf kal',POS
'anies baswedan relawan tak ternilai dengan uang nomor sederhana',POS
'menjanjikan belum tntu di tepati liat perkataan jkw kami sudah saya sudah kita sudah om prab kami akan kami akan',POS
'yg indonesia perlukan adalah pemimpin sederhana jujur dan amanah yg kerjanya terbukti untuk itu ayo kita coblos no salam jari',POS
'aku serahkan masa depan sinema indonesia raya pada akhirnyamilih',POS
'ayo kt menangkan',POS
'jangan lupa tgl juli coblos salam jari mau',POS
'dukungan kelompok musik slank terhadap bukan terbangun tiba tiba',POS
'kami butuh pemimpin yang sederhana jujur berani merakyat dan bekerja bukan pemimpin yang ditakuti',POS
'entah bakal menang atau kalah hrs diakui jkw berhasil merubah byk pola pikir apatis ttg pemilu menjadi optimis pasif jd aktif',POS
'asekk besok nyoblos polih yaa',POS
'lucu ja ada yg ngmng kl umroh jkw pencitraan krn umroh hrsnya hr dan beliau cm hr doanya tkt djabah tuhan lha doa mnt emg jg ga brguna',POS
'pendukung prahara bersyukur atas kemenangan jkw jp mereka takkan pernah tertipu terbeli hati nuraninya lagi untungsajamenang',POS
'bilangnya tegas sama preman kok gak berani terbukti jkw mengusir preman ditanah abang capres tetangga kembangbiakin preman',POS
'dan sampai jam dari pemilihan gw belum dapet postingan dari pendukung prahara ttg prestasi calon mereka isinya cuma jelek in jkw doang',POS
'aku pilih yg jujur sederhana dan melayani rakyat jkw mengoleskan balsam di kaki muzadi',POS
'insyaallah menang telak di sumbar',POS
'dengan tegas saya pilih jkw loyalitasitumahal cc',POS
'eleehh aku nak milih pakde jkw hidup pakde jkw salamduajari peace',POS
'ingat ustad jg ingat nasib bangsa siapakah yg akan memimpin thn ke dpn semoga jkw krn jkw mendukung palestina merdeka',POS
'di saat semuanya memprediksi hasilnya tipis eh tau nya menang telak eh salam jari',POS
'jangan lupa tuh nyoblos salam jari',POS
'gw salut sm artis relawan jkw tulus bela org baik salam jari',POS
'segala fitnah tipu daya prahara tak akan menyurutkan langkah utk memenangkan di jabar indonesia',POS
'black campaign fitnah halalkan segala cara men zolim hanya gara terima bayaran dari prahara',POS
'efek bagi saya efek satu suara saya kunci terpilihnya jkw dan jk ri satu dan ri dua',POS
'jangan lupa pilih salam jari juli',POS
'media kampanye di detik terakhir eva sundari itu sederhana dan tegas',POS
'gues bantu saya yuk dukung pak dengan cara retweet tweet salam jari day',POS
'temponews eva sundari itu sederhana dan tegas beritarss',POS
'elektabilitas meningkat rupiah menguat menang ekonomi tumbuh rakyat sejahte',POS
'ingat ingat ingat ke tps pilih no',POS
'gua pilih lis semoga aja menang lis iya gua gak balik put lo pilih sapa put',POS
'nomor sederhana berani dibenci yahudi yang dilindungi amerika sekutunya dgn testimoni yg mendukung palestina',POS
'nomor sederhana hubungan australia indonesia soal trust dan kewibawaan',POS
'btw jason mraz dukung loh',POS
'bismillah hirrohmanirrohim semoga pilihanku tidak salah salam jari',POS
'eva sundari itu sederhana dan tegas tempo',POS
'biasanya golput sekarang saatnya harus milih presidenku',POS
'jangan lupa datang ke tps yuk qt rame nyoblos day',POS
'hari ini kita buktikan bahwa semua itu asli dan bukan rekayasa dgn menangkan',POS
'jadi keinget visi pertama yg bilang pas di debat kemaren buat bantu palestina alhamdulilah aku milih orang yang bener',POS
'aplikasi dan independensinya visi misi ekonomi lebih konkret',POS
'demi saya harus milih walau dgn perjalanan yg sangat panjang melalui pantura',POS
'anak muda dukung ayoo semua jangan ada golput salam jari',POS
'eva sundari itu sederhana dan tegas',POS
'pidato deklarasi kemenangan di tugu prokla',POS
'hasil penghitungan suara dari jerman yg saya terima semalam menang di berlin frankfurt hamburg',POS
'akhirnya capres nomor urut dua berani menggunakan bahasa inggris secara langsung dalam konferensi pers yang digelar',POS
'real count yg dirilis rcti mnctv hasil survei pks juli ini penipuan tim hukum sebaiknya lapor polisi cc',POS
'pksmunafik menuduh jkw umroh sbg pencitraan mrk tau isi hati jkw pdhl wkt anis matta hadiri kebaktian di jcc mrk blg',POS
'real count yg dirilis rcti mnctv hasil survei pks juli ini penipuan tim hukum sebaiknya lapor polisi',POS
'gua sih milih jkw pandangan ekonomi nya cakep cocok buat ngadepin afta ntar abisan sebelah lupa bgt ini negeri kaga ada siap nya',POS
'ayu azhari kemenangan sementara kemenangan rakyat',POS
'golkar berpeluang merapat ke pdip dukung',POS
'dukungan rakyat utk presiden tidak dapat dibeli dengan uang inilah kehendak rakyat salam jari',POS
'data versi dpd pdip sulut unggul di manado',POS
'almisbat cuma yang mampu bawa perubahan',POS
'membangun opini meresahkan ttg bahaya komunisme yang mendiskreditkan capres cabut izin penyiaran tv one',POS
'warga solo telah merayakan kemenangan calon presiden meskipun belum ada hasil resmi laporan audio',POS
'gue mendukung sebagai presiden baru',POS
'din puji wajah lebih cerah setelah umroh',POS
'di ntb jkw dpt di bali menang telak hampir',POS
'lapor rekap kelurahan cipseljkt sdh resmi dittd utk jkw kawalnomer kawalsuara',POS
'lapor rekap kelurahan cipseljkt sdh resmi dittd utk jkw',POS
'jika menang wapres jk berpeluang kembali menjadi ketum golkar',POS
'efekny luar biasa banjarejo pesantren babusalam yg kunjungi jkw menang telak',POS
'beberapa dari sekian prestasi selama menjabat jadi gubernur jakarta',POS
'terus dorong relawan proaktif laporkan kecurangan jakarta tim pemenangan',POS
'berdasar hasil quick count rri tampak mayoritas warga dki ingin presiden dan ahok gubernur supaya koordinasi pu',POS
'terus dorong relawan proaktif laporkan kecurangan jpnn pilpres',POS
'timses terima laporan kecurangan di madura beritasatu',POS
'pendukung laporkan keganjilan pilpres ke kawal suara',POS
'akhirnya menang yes yes yes',POS
'gak pake indikasi melainkan menunjukkan bukti bhw qc kredibel menangkan jkw dari dulu sampai kiamat hasil qc kpu',POS
'pak jkw kalo jd pres tolong bubarkan tangkap akun sebarin fitnah sara spt tm biar yakin kalo kita py pemerintahan ya',POS
'pak jkw kalo jd pres tolong bubarkan tangkap akun sebarin fitnah sara spt tm biar yakin kalo kita py pemerinta',POS
'ayo amankan suara sang pemenang baca info ini share',POS
'jkw laporan emiten semester bakal beri sentimen positif ke ihsg',POS
'bukan pemimpin biasa indonesia butuh pemimpin yang berbeda kami merindukan pemimpin yg merakyat dan jujur',NEG
'maka jkdominasijkw pasti terjadi mengingat motif awal dari jk sendiri apalagi lemah',NEG
'pendukung di debat kali ini seperti penonton di dahsyat hftt',NEG
'sama jk kalo debat capres kyak mau ulangan yah pake kepekan segala hahaha',NEG
'politisi pp prihatin sumbangan dana ke diduga bermasalah pasangan calon presiden dan wakil preside',NEG
'saya pilih no utk kbaikan kebaikan utk jdi presiden dan kbaikan utk jdi gubernur gituaj',NEG
'tiap liat wajah jk nee pengen ngakak aja bawaannya dl blg klu yg jd presiden hancur indonesia nee sekli diksi jbtan wapres lgsg mau',NEG
'masih dengan kompas beritain pak kebelet pipis saat terjebak macet apa pentingnya',NEG
'menurut para kyai bila jadi presiden maka indonesia akan di pimpim oleh kerajaan setan by',NEG
'ini gw yg bodoh dh kayaknya karena gw gak ngerti apapun yg dibilang jk ini pasti krn cengiran',NEG
'nyengir adalah kita nyegir terus knapa yaa kasihan calon presiden spt it',NEG
'selesaikan tugas jakarta mu dulu pak jangan tamak dengan kekuasaan',NEG
'pentingkah atw pncitraan antar jk naik panggung debat',NEG
'cuma mengingatkan jangan lupa pilih no adalah kita pic',NEG
'terlupakan jk kritik bisa hancur negeri ini kalau jadi presiden',NEG
'inii bukan mimin yg bikin cungguh cerdaspilih pintarpilih',NEG
'untuk cuma cuti aja kalo nggak ya siap jadi pengangguran setelah pilpres',NEG
'spanduk selamat puasa kubu salah fatal tulis bulan dan tanggal spektanews',NEG
'cc di mata kami adh seburuk nya pemimpin munafiknya ga ketulungan nilainya minus di bwh nol otaknya beku hati',NEG
'this disukai asing lha iyalah capres sekualitas camat negara asing mana yg ga suka makin hari kelihatan bego nya',NEG
'disukai asing lha iyalah capres sekualitas camat negara asing mana yg ga suka makin hari kelihatan bego nya',NEG
'yang pendukung dan merasa muslim hayo liat temu kangen eks pki',NEG
'tp blg un mau dihapus ko ga kompak yah jk un tetap ada tapi sistem belajar harus dievaluasi',NEG
'nonton metromini kasian timses terpaksa ngeles cari pembenaran gara jk jawaban tidak nyambung tdk sesuai visi misi',NEG
'said iqbal kspi dukung itu berita hoax dan bohong',NEG
'hahaha orang pintar minum tolak angin orang pintar stay on the right side lah kok jadi ke capres yah',NEG
'pendukung merem unt masalah itu bang yg penting no susaahh',NEG
'sikap pendukung dinilai jauh dari etika dan nilai agama republika online mobile',NEG
'oh gt skp pendkung dinilai jauh dri etika dan nilai agama kilasindonesia',NEG
'ajian prongos ituurt itu kenapa setiap disorot kamera langsung tersenyum mukamu jelek woeyy kalah',NEG
'pak jk adlh orang yg aku hormati benar benar terkunci oleh wacana revolusi mental kasihan deh awalnya aku kagum',NEG
'dki jakarta setahun dipimpin alhamdulillah yg naik hanya jumlah orang miskin inflasi kemacetan korupsi pengangguran',NEG
'openfollow kivlan zen ada bau bau komunis di belakang berada di makam bori teamfollowback',NEG
'sikap pendukung dinilai jauh dari etika dan nilai agama',NEG
'urus jakarta yg juta jiwa dan km setengah mati dan frustasi emang ga punya kemampuan apapun di solo jd boneka rudi doank',NEG
'yg gua liat kalau pak dan pak berbicara didebat membuat orang tertawa ada saja leluconnya huft banged pemimpin begitu',NEG
'namanya jg ondel di mata kami adalah seburuk nya pemimpin munafiknya ga ketulungan otaknya beku hati moral ga ada',NEG
'lagi dilaporkan warga solo ke kpk',NEG
'revolusi mental di mata kami adalah seburuk nya cont',NEG
'bohong lg masalah kasus bustransj bilang sudh lapor dibantah jubir kpk',NEG
'dan prasaan gue cm crita sdikit ttg buzzerny deh soalna gue ngalamin ya kaya capres yg anda bela td pencitraanny jelek',NEG
'om can klarifikasinya ap benar skrg banyak orang cina berbondong bondong dtg indonesia dgn mksd gol kan',NEG
'alih jk jadi kartu turf malah sekarang jk jadi kartu mati bagi masyarakat klas bawah tdk respek dg jk selma tandem dg sby prediksi',NEG
'saja jadi gubernur nggk selesai apalagi mau jadi presiden gimana nasib negara ini hadeeh politikmu ckckckck',NEG
'yuk detik skrg membabi buta pasang berita tutupi hasil debat yang membuat jk kalah telak hehehe detik kan panasbung',NEG
'hasil survei vox populi hanya unggul pada pemilih tidak tamat sd',NEG
'aku tidak memilih karena sudah disumpahi quran tidak amanah dan jakarta tambah semrawut',NEG
'makanya moment udah hilang ditambah lagi pola lugunya udah berubah sejak nyapres',NEG
'dan stasiun televisi net pun terang terangan dukung pfftt gak liat apa debat cawapres barusan',NEG
'betul can itu pki dari partai komunis pdipki',NEG
'om dalam debat salah membenarkan penjualan indosat cc',NEG
'skandal besar di dki',NEG
'ada golongan orang yg susah dinasehatin org yg kasmaran pendukung capres',NEG
'kami sdh investogasi thn cermati dia dan cari info makanya kami berani sampaikan apa adanya yg kini takut mati hehe',NEG
'wah pejabat bawaslu sudutkan di facebook',NEG
'pndkg yg khabisan bahan sukanya lelucon aneh neh prlu rev mental diruwat',NEG
'blusukan ke prodeo gunakan bus trans jakarta om bwekekekek kalau perlu jk nanti suruh blusukan sampe mati',NEG
'tim rasanya aneh elektabilitas disurvei turun',NEG
'emangnya kerja sedikit banyak di sorot media jk byk yg gak nyambung dr pertanyaanya',NEG
'lah emang bisa bahasa inggris capres cawapres kita gak ada yg doktor moderatornya aja yg profesor lain',NEG
'psikolog politik ui bisa bernasib buruk seperti joseph estrada mantan presiden filipina',NEG
'news menuju kekalahan panik elektablitas melorot anis minta relawan solid assadiqulhaq',NEG
'menuju kekalahan panik elektablitas melorot anis minta relawan solid',NEG
'kalo menang semoga negara ini jadi negara pelawak',NEG
'presiden kok klemar klemer hahahaha rakyat ini cuma tau capres itu doang',NEG
'itu robben di sleding teckle kok nggak pelanggaran sit ah pasti pendukungnya yang suka pencitraan doang',NEG
'kontroversi politik anggaran untrakyat',NEG
'dalam lawatan ke linjing beijing kazan dan moscow belajar revitalisasi dan revolusi komunis',NEG
'makanya pilih no biar langsung untung ga tahu apa emg klo amerika marah kita harus blg wow efekantekasing',NEG
'knp ya kasian aja gtu kalo liat muka pak berasa iba jahat bgt emang ni megawati jadiin boneka benci bgt sama perempuan itu',NEG
'fitnah ke motifasi nasi bungkus doank hina banget tuh',NEG
'apalagi urus indonesiaa bisa hancur negri ini kalo jadi presiden mengutip kata pak jk hehe',NEG
'cuman tiang monorel aj pak yg blm naek msh segitu aj dki jakarta setahun dipimpin',NEG
'bahasa inggris ala dijamin ngakak',NEG
'gada yg lebih bego dan awam daripada org yg udah ketipu sma sok kepolosan dan katanya kesederhanaan padahaal',NEG
'tegaslah pak anies drpd gk bs tegas selama ini hanya setir oleh mega apa hrs lapor sm mega aneh banget sm mega',NEG
'makanya butuh revolusi mental tuh om itu sdh bego tamak serakah penipu korup lagi',NEG
'dah gak menarik mas bicara cukuplah jadi gubernur mental keple',NEG
'jk bisanya cuma menjelekkan peserta lawan otak jk itu kosong mana ada isinya sama seperti tong kosong',NEG
'rustriningsih dah tobat tuh kok ada orng yg mau tertipu setelah begtu banyak fakta',NEG
'korupsi dana pendidikan masyarakat solo desak kpk tangkap',NEG
'hrs sipertanggungjawabkan lho keuangan dki jeblok dprd akan panggil',NEG
'pns dki jakarta serukan rakyat tidak pilih',NEG
'hanya boneka aja cecengessan tiap hari blusukan kemana kenapa ga pemulung aja',NEG
'pendukung nomor selalu nuduh capres boneka',NEG
'klu cuma segitu luasnya kapasitas hanya selevel camat didaerah sya hahaha',NEG
'warga laporkan ke kejaksaan agung',NEG
'tampang makin songong dari janji palsunya buat jadi gubernur dki gak ada pun yg terlaksana kecuali blusukan lol',NEG
'nah loh terpopuler metro dinilai tidak tegas soal kasus bus transjakarta',NEG
'benar sekalai sikap pendukung dinilai jauh dari etika dan nilai agama',NEG
'fakta korupsi bus karat buatan china knapa menyesal toh fakta yg bicara',NEG
'disaat dianggap layaknya malaikat',NEG
'visi misi tidak lebih hanya pembohongan publik menyorot agenda evaluasi pendidikan kampanyesehat',NEG
'mana nich yg bisa jelasin revolusi mental haloo ada gak pendukung yg punya mental untuk jelasin revolusi mental silahkan komen',NEG
'ha ha aha klu perlu jk nanti suruh blusukan sampe mati blusukan sampe ke ln tontonan memalukan dimata asing',NEG
'terlalu timses sakiti ulama nu jatim seperti wimar sebut bajingan lembaga islam',NEG
'om gmn tuh ancmaan romo magnis klo kalah bakalan rusuh',NEG
'tuhkan pendukung pak aja pada kecewa ama statement pak jk di debat tadi eeaa',NEG
'satu hal yg gw khawatir in klo jd presiden klo ad pertemuan antar pemimpin bangsa mau ngomong apa inggris ae ga becus lol',NEG
'deddy mizwar mending balik jadi gubernur pak jk ke masjid via',NEG
'kata jk mau jdi apa ngri ini bisa ancur ngri ini kalo jdi prsden beresin aja dulu jkt jk penjilat ludah sndri',NEG
'terpopuler metro dinilai tidak tegas soal kasus bus transjakarta bukankah lagi disidik jaksa',NEG
'harus terpopuler metro kpk diminta usut temuan bpk soal apbd dki era',NEG
'itu pendukungnya pd kecewa ama jk',NEG
'jawaban normatif dari seorang capres yang plin plan bisa hancur negeri ini klo yang pimpin',NEG
'saya korban politik uang by is superb',NEG
'jakarta nampaknya keinginan untuk menjadi calon presiden harus melalui jalan yang terjal setelah',NEG
'pipa nus kan punya bakri jd wajar pemberitaan begini terpopuler metro dinilai tidak tegas soal kasus bus transjakarta',NEG
'setiap di tanya sama wartawan pa selalu jawab itu bkn urusan saya sudah ada yg ngurusi lah jdi selama jadi dki ngapain aja pak',NEG
'kami sdh buktikan semua penghargaan adalah palsu rekayasa penghargaan semu buatan',NEG
'nah terpopuler metro dinilai tidak tegas soal kasus bus transjakarta',NEG
'kata negeri ini akan hancur bila jadi presiden yang bilang ini hoax orang gila berarti',NEG
'lah elu kan ndukung bang kok njelek in jk pak jk ini emang konsisten soal un konsisten ngaconya',NEG
'fakta dinilai tidak tegas soal kasus bus transjakarta',NEG
'udah aah ntar ga seru apalagi sampai ga sadar terbuka rahasia besar memalukan ttg bisa kena semprot kami haha',NEG
'loh emang pernah tegas terpopuler metro dinilai tidak tegas soal kasus bus transjakarta',NEG
'kivlan zen ada bau bau komunis di belakang',NEG
'pengakuan mantan sekda solo di balik pencitraan',NEG
'hampir telanjang om kami sdh investogasi thn cermati dia dan cari info makanya kami berani sampaikan apa adanya',NEG
'did you know that blusukan habisin uang rakyat miliar selama setahun di jakarta gilaak blm lg uang perja',NEG
'terus keanehan kedua kok sy blm prnh ya liat ibu megawati puan maharani getol kampanyekan ada perseteruan apa di tubuh mereka',NEG
'jk kalo jadi presiden bisa hancur negeri ini presiden',NEG
'gw sih ga fanatik tapi karna pilihannya cuma ada calon capres dan cawapres jadi lebih baik gw pilih jk',NEG
'udh gue jawab rahasia freeport basis militer as di asean konflik laut china aja lepas tangan gmn ada martabat',NEG
'yang saya tidak suka dgn adalah di antek komunis zionis dan hantu belao lainya mereka menyinggung dukungan untuk palestina',NEG
'pasukan nasi bungkus seribu pendukung nonton bareng debat di tugu proklamasi',NEG
'politisi pp prihatin sumbangan dana ke diduga bermasalah via okezone',NEG
'situ komunis pilihan hati simple kenapa karena mereka adalah orang baik dan indonesia butuh orang baik',NEG
'elektabilitas anjlok pdip cium konspirasi curangi pemilu',NEG
'oh ya terakhir tuh lembaga survey bayaran ga ada tuh yg umumkan hasil surveynya knp ayoo suara jkwi melorot di bwh haha',NEG
'emang ga nyambung tranding palsu',NEG
'ini fitnah tak solid dukung pdip bisa blunder',NEG
'mereka para pemfitnah itu meniupkan isu bahwa terlibat pki sungguh ini isu biadab yang tidak takut tuhan',NEG
'satujuu tangkap harus transparan soal korupsi transjakarta dan apbd cont',NEG
'ogah semua wajib nonton presiden republik indonesia',NEG
'republikaonline punya siapa si ko artikel nya begitu sisi negatif semua ttng kecewasamarepublika',NEG
'bener apa kata mba ahok adalah bentuk kecil dari visi misi kepemimpinan selamatkanindonesia',NEG
'klw ini beretika pny nilai agama sikap pendukung jauh dr etika nilai agama',NEG
'sebaiknya balik jadi gubernur aja dah urus tu program yg gagal seperti buskaratan masalah belum selesai malah lari',NEG
'itu sdh bego tamak serakah penipu korup lagi eh pki lagi khianat lagi munafik lagi palsu lagi kok ada yg suka gila',NEG
'wuih ada apa ya tak solid dukung pdip bisa blunder',NEG
'kampanye hitam dan intimidasi sgt mempengaruhi penurunan elektabilitas',NEG
'jahaha oh ya terakhir tuh lembaga survey bayaran ga ada tuh yg umumkan cont',NEG
'maklumin aja namanya juga lemot terpopuler metro dinilai tidak tegas soal kasus bus transjakarta',NEG
'hmm mega ayo mari kita pilih pak banteng kurus kurus bukan karena ga makan lho tapi krna banyak tekanan perasaan',NEG
'nama pak jk sudah dikenal sangat baik tapi kini ternoda krn ambisinya hingga bergabung ke',NEG
'tapi capres tukang tipu hehe kh hasyim muzadi bukan capres boneka jpnn pilpres',NEG
'poempida sesalkan amien rais pakai anaknya untuk pojokkan',NEG
'terlihat sangat kagum dg kecerdasan dalam debat malam ini sesekali menoleh kpd penuh keraguan',NEG
'tim benci islam setelah wimar muncul butet',NEG
'blusukan habisin uang rakyat miliar selama setahun di jakarta gilaak blm',NEG
'ngeri sedap masuk tih barang kpk diminta usut temuan bpk soal apbd dki era',NEG
'pak cepet banget njupuk jantung nanging yen wektu lan sabar katahan bapak bapak bisa dadi nomer siji',NEG
'sdh lamaa dari dulu belajarsama tokoh pki mbah pardi mulai pakai klenik',NEG
'waduh elektabilitas anjlok pdip cium konspirasi curangi pemilu',NEG
'penipu macet hermansyah macet hermansyah macet wolhermansyah jpg',NEG
'penipu lg macet lg macet jpg',NEG
'penipu bebas macet bebas macet ngeblonkabiss jpg',NEG
'penipu jakarta macet jakarta macet jpg',NEG
'setujuu sikap pendukung dinilai jauh dari etika dan nilai agama',NEG
'dan terbukti tiap kamera mengarah ke lgs deh nyengir cengengesan bener lho kata twit orang banci kamera debatcawapres',NEG
'terpopuler metro dinilai tidak tegas soal kasus bus transjakarta',NEG
'jk kritik bisa hancur negeri ini kalau jadi presiden presiden',NEG
'terungkap bohong jkw bungkam',NEG
'kompleks yo tidak sesederhana dan seaman yang orang awam fikirkan lagipula sih udh pasti jelek dimata urg',NEG
'video langgar sumpah jabatan gubernur dki via',NEG
'berani jujur kecewa bilang kecewa itu pendukungnya pd kecewa ama jk',NEG
'jadi banyak yang akhirnya berpihak ke karena eneg pak di mana diberitakan bagus pencitraan mulu katanya',NEG
'ga bisa pegang janji moso org yg janjinya palsu mo dipilih',NEG
'apapun demi menang kak istri mendadak berjilbab',NEG
'republika tak solid dukung pdip bisa blunder',NEG
'tak solid dukung pdip bisa blunder',NEG
'kebohongan gt gt belum apa apa tim sudah menipu warga nu',NEG
'din syamsuddin sesalkan manipulasi berita tentang',NEG
'poempida sesalkan amien rais pakai anaknya untuk pojokkan lewat',NEG
'bukti ketajaman jk yg dulu jika presiden bisa hancur negeri ini',NEG
'memang bebal asal asalan tidak ngerti tapi para pendukungnya tetap memuji lewat',NEG
